Temperatur; Luftfeuchtigkeit; Luftdruck; TVOC; CO2; UV
0.31; 32; 59461; 112; 1140; 0

-0.06; 32; 59304; 110; 1128; 0

-0.24; 32; 59120; 117; 1171; 0

0.54; 31; 58937; 114; 1153; 0

0.00; 31; 58763; 119; 1184; 0

-0.10; 32; 58580; 125; 1224; 0

0.75; 31; 58395; 134; 1285; 0

0.18; 32; 58196; 127; 1238; 0

0.22; 33; 57995; 146; 1360; 0

0.08; 33; 57825; 142; 1334; 0

-0.45; 34; 57651; 142; 1334; 0

-0.27; 34; 57456; 146; 1360; 0

0.40; 33; 57270; 146; 1360; 0

-0.30; 33; 57057; 148; 1376; 0

-0.13; 34; 56876; 146; 1360; 0

0.12; 33; 56665; 148; 1376; 0

-0.47; 34; 56508; 146; 1360; 0

-1.10; 35; 56311; 151; 1393; 0

-1.30; 36; 56131; 164; 1478; 0

-0.52; 36; 55917; 170; 1498; 0

-1.00; 38; 55717; 197; 1537; 0

-0.25; 39; 55538; 204; 1546; 0

-1.01; 40; 55367; 200; 1542; 0

-1.70; 40; 55196; 177; 1507; 0

-2.16; 38; 55034; 154; 1416; 0

-1.61; 37; 54870; 154; 1416; 0

-0.67; 36; 54711; 164; 1478; 0

-0.34; 35; 54516; 166; 1495; 0

-1.24; 35; 54322; 143; 1341; 0

-2.08; 36; 54124; 164; 1478; 0

-2.06; 37; 53962; 170; 1498; 0

-2.28; 38; 53794; 183; 1517; 0

-2.86; 39; 53602; 179; 1512; 0

-2.40; 39; 53407; 174; 1503; 1

-2.34; 38; 53210; 170; 1498; 0

-2.88; 38; 53014; 164; 1478; 0

-3.36; 40; 52806; 174; 1503; 0

-2.96; 39; 52644; 157; 1432; 0

-2.55; 37; 52419; 161; 1458; 1

-1.33; 36; 52271; 174; 1503; 0

-1.96; 36; 52080; 166; 1495; 0

-2.73; 36; 51914; 151; 1393; 0

-2.37; 35; 51713; 154; 1416; 0

-3.10; 35; 51516; 143; 1341; 0

-3.09; 37; 51372; 177; 1507; 1

-2.42; 37; 51200; 174; 1503; 0

